CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,ChurnStatus
CUST0001,Female,61,12,85.96,871.41,Month-to-month,Fiber optic,Bank transfer,Yes
CUST0002,Male,43,65,32.35,1802.07,Month-to-month,No,Electronic check,No
CUST0003,Male,61,65,50.95,3378.31,One year,DSL,Electronic check,No
CUST0004,Male,35,17,81.74,1189.71,One year,Fiber optic,Electronic check,No
CUST0005,Male,32,72,77.09,5058.73,Two year,Fiber optic,Credit card,No
CUST0006,Female,52,34,37.07,1220.78,Two year,DSL,Electronic check,No
CUST0007,Male,18,36,22.06,757.45,Month-to-month,No,Bank transfer,No
CUST0008,Male,34,25,82.97,2013.94,One year,Fiber optic,Mailed check,Yes
CUST0009,Male,56,67,58.87,3789.09,Month-to-month,DSL,Credit card,No
CUST0010,Female,69,13,68.76,803.14,Month-to-month,DSL,Bank transfer,Yes
CUST0011,Female,44,17,60.16,894.72,Month-to-month,DSL,Electronic check,No
CUST0012,Female,72,34,88.23,3046.03,One year,Fiber optic,Electronic check,Yes
CUST0013,Female,34,34,29.51,947.38,One year,No,Electronic check,No
CUST0014,Male,21,13,40.61,447.54,One year,DSL,Electronic check,No
CUST0015,Female,56,68,64.51,3971.36,Month-to-month,DSL,Electronic check,No
CUST0016,Male,29,58,69.08,3522.46,Two year,DSL,Electronic check,No
CUST0017,Female,73,48,82.0,3950.05,One year,Fiber optic,Bank transfer,No
CUST0018,Male,50,44,88.79,3490.04,Month-to-month,Fiber optic,Bank transfer,Yes
CUST0019,Male,72,67,101.09,6565.78,Two year,Fiber optic,Electronic check,No
CUST0020,Female,61,20,40.23,764.24,Two year,DSL,Mailed check,No
CUST0021,Male,57,17,33.05,532.71,Two year,No,Credit card,Yes
CUST0022,Female,21,71,89.44,6578.28,Month-to-month,Fiber optic,Credit card,No
CUST0023,Male,65,4,26.17,83.99,Month-to-month,No,Mailed check,Yes
CUST0024,Male,28,25,56.7,1238.49,Month-to-month,DSL,Electronic check,Yes
CUST0025,Female,22,5,92.54,433.88,Month-to-month,Fiber optic,Electronic check,Yes
CUST0026,Male,44,49,96.18,4254.59,Month-to-month,Fiber optic,Electronic check,Yes
CUST0027,Female,24,65,22.04,1282.18,Two year,No,Electronic check,No
CUST0028,Female,56,53,87.91,4712.39,One year,Fiber optic,Credit card,Yes
CUST0029,Female,73,61,69.73,3830.64,One year,Fiber optic,Credit card,No
CUST0030,Male,69,19,60.11,1068.63,Two year,DSL,Mailed check,No
CUST0031,Male,70,7,75.5,494.99,One year,Fiber optic,Bank transfer,No
CUST0032,Female,67,0,27.94,27.94,Month-to-month,No,Bank transfer,Yes
CUST0033,Female,31,2,81.47,150.15,Two year,Fiber optic,Bank transfer,No
CUST0034,Female,63,65,25.97,1547.65,Month-to-month,No,Bank transfer,No
CUST0035,Female,32,16,101.02,1369.99,Two year,Fiber optic,Bank transfer,No
CUST0036,Female,21,69,62.85,3683.57,Month-to-month,DSL,Bank transfer,No
CUST0037,Male,61,10,35.54,315.37,Month-to-month,DSL,Electronic check,Yes
CUST0038,Male,73,12,85.83,1082.21,One year,Fiber optic,Bank transfer,No
CUST0039,Male,64,19,18.0,353.31,Month-to-month,No,Bank transfer,Yes
CUST0040,Male,53,11,92.38,960.0,Two year,Fiber optic,Electronic check,Yes
CUST0041,Male,72,40,80.46,3151.94,Month-to-month,Fiber optic,Electronic check,Yes
CUST0042,Male,22,31,75.81,2230.46,One year,Fiber optic,Bank transfer,No
CUST0043,Female,24,21,36.51,662.71,Month-to-month,No,Mailed check,No
CUST0044,Female,32,43,79.76,3406.57,Month-to-month,Fiber optic,Credit card,Yes
CUST0045,Female,22,59,58.74,3092.11,One year,DSL,Electronic check,No
CUST0046,Female,53,72,73.97,4876.05,Month-to-month,Fiber optic,Bank transfer,No
CUST0047,Female,20,63,83.93,4517.34,One year,Fiber optic,Bank transfer,No
CUST0048,Female,39,70,47.5,3259.74,Month-to-month,DSL,Electronic check,No
CUST0049,Female,47,60,20.16,1203.48,Month-to-month,No,Electronic check,No
CUST0050,Male,43,72,22.39,1481.68,Month-to-month,No,Mailed check,No
CUST0051,Female,52,25,51.97,1128.56,One year,DSL,Mailed check,No
CUST0052,Female,63,17,62.38,991.0,Month-to-month,DSL,Electronic check,Yes
CUST0053,Male,68,59,55.45,2910.51,Month-to-month,DSL,Electronic check,No
CUST0054,Male,64,43,34.81,1346.54,One year,No,Bank transfer,No
CUST0055,Female,60,42,47.94,1985.56,One year,DSL,Electronic check,Yes
CUST0056,Female,49,31,24.78,720.22,Month-to-month,No,Bank transfer,Yes
CUST0057,Female,51,30,57.37,1617.62,Month-to-month,Fiber optic,Mailed check,No
CUST0058,Male,63,16,39.22,566.6,One year,DSL,Mailed check,No
CUST0059,Male,44,9,74.78,680.43,Month-to-month,DSL,Electronic check,Yes
CUST0060,Male,41,4,53.49,203.53,Month-to-month,DSL,Credit card,Yes
CUST0061,Female,65,13,101.31,1174.21,Two year,Fiber optic,Electronic check,Yes
CUST0062,Male,73,12,71.91,739.02,Month-to-month,Fiber optic,Credit card,No
CUST0063,Male,39,24,49.9,1233.21,Two year,DSL,Bank transfer,No
CUST0064,Female,52,26,22.27,498.01,One year,No,Credit card,Yes
CUST0065,Female,20,53,85.61,4631.5,One year,Fiber optic,Bank transfer,No
CUST0066,Female,73,6,58.65,338.22,One year,DSL,Mailed check,Yes
CUST0067,Male,64,12,18.0,221.39,One year,No,Mailed check,No
CUST0068,Female,20,11,76.57,826.7,Two year,Fiber optic,Credit card,Yes
CUST0069,Female,39,38,64.67,2406.61,Two year,Fiber optic,Bank transfer,No
CUST0070,Female,68,3,49.76,123.99,Month-to-month,DSL,Mailed check,Yes
CUST0071,Male,54,71,77.07,5736.96,Month-to-month,Fiber optic,Electronic check,No
CUST0072,Male,49,45,51.29,1933.37,Two year,DSL,Electronic check,No
CUST0073,Female,24,16,28.06,482.15,Month-to-month,No,Mailed check,Yes
CUST0074,Female,58,35,74.47,2339.97,Month-to-month,Fiber optic,Mailed check,Yes
CUST0075,Female,53,11,99.93,998.66,Two year,Fiber optic,Credit card,Yes
CUST0076,Female,28,17,86.03,1451.13,Two year,Fiber optic,Electronic check,Yes
CUST0077,Male,45,39,27.69,945.94,Two year,No,Mailed check,No
CUST0078,Female,49,38,67.84,2433.86,Month-to-month,Fiber optic,Electronic check,Yes
CUST0079,Male,49,67,18.0,1032.16,Month-to-month,No,Electronic check,No
